word error
those 0.0692925375212737
reptilian -0.006420932670445051
ancestors -0.08531229920756109
richly 0.12346372622286977
presenter 0.08801769581564006
phasing -0.034269382596964715
affront 0.10624510828213035
kingdom -0.11781646034124507
inside 0.05921439382399776
regime -0.033548242910302006
dependent 0.11347009702341321
now -0.14759492834918791
maison -0.02169118568873482
landfills 0.040507483071056116
circuit 0.14094867514740433
sheet -0.12216133086061044
black-and-white 0.010590067179510138
art -0.00839408890293096
play 0.003446178811750328
newcomer -0.05474031733684473
pulled -0.09191633344327602
happens -0.010193644775027724
80 -0.0915427823199729
obstructive 0.0627363258335858
entire 0.04437412037914648
yours -0.06100532041640805
less -0.05350638122949622
lung -0.11116390399241609
fear -0.05320944618834969
stranglehold 0.15120104822094776
egalit‚ 0.13159831628328905
celebrations 0.11401086246089437
rich -0.04063186935286517
blair -0.08844398218683083
altercation 0.04007051737855133
portraits -0.040228207974407765
light -0.06264525192864073
suffered -0.025220302325589833
founded 0.011554077124864642
gains -0.006722146064704004
jeremy 0.06750274454941202
equator -0.008041520868918517
pedigree 0.07329713433379872
likes -0.034667690226904746
bother -0.008215016592517055
roadshow 0.09399369957550047
oddity 0.016725506517509647
signposts 0.14096905543770366
radio -0.10854147639327119
relief -0.03980225274810503
radio -0.03657163944296907
resent 0.09583602455896523
burnley 0.08374040290977
rake -0.01842594304364628
whitelaw -0.00808528227194183
100m -0.03970458992812964
republican 0.1137927282442405
said -0.11718215189293593
inflation-fighting 0.3869364096379872
washed -0.02275610355988439
ralph -0.10740101290913512
bondage 0.05544450136514584
minimising 0.07742562524115926
viewing 0.0022942961925020156
cynically 0.048499767730652676
issps 0.05226030948311128
treats 0.033655437557436246
drivers -0.07169853752026573
lake 0.01464960790036976
no -0.12204970558714909
huge -0.07938451388585165
ear -0.1438344884610565
contend 0.01814731484347118
as -0.11175700479267217
global -0.11996477256233176
place -0.08745578931614012
sceptical 0.0020519044240941975
earnings 0.04492771857885261
becoming 0.04939655408685795
reform 0.00865752214548457
bird -0.11954951993548218
busy -0.09405215043905905
tried 0.019543296029505816
isabela 0.03028618513077755
retention -0.04376379558185403
school -0.012881080529036124
icon -0.05806896099834405
sandpaper 0.02208922432053173
banged -0.01622000246832446
chortling 0.06054480291989958
owed -0.05575837449509394
demons -0.12590901468076676
been -0.04305909462434071
arrives -0.0330711013048291
chiefs 0.0565912106802913
lukewarm 0.06338630823065719
automatically 0.19546031696969046
arabic 0.056924575318988785
preoccupied -0.11009452306554579
guaranteed 0.033475642338868405
overall -0.04515943216048679
living -0.001195985246926129
hawaii -0.11076936411319638
anticipated 0.0391327091233272
customer 0.03613788489395975
reminiscing 0.0014909743668537478
' 0.0593888051301496
mini -0.04394820215998489
skid -0.1058012671931598
22 -0.13351248996343082
influenced 0.07020793517464402
balances 0.07076242659953436
snails -0.04732752479851757
concept 0.02345599565669676
integrated 0.10196502480940034
harbours 0.03225928375962511
ovens 0.011081564086508483
rages -0.037680594836225795
dreariness -0.09599743960915352
associate -0.041209534747911364
permanently -0.05981589487020682
counsellors -0.07500031547166491
recorded -0.03652863379041926
swedish -0.018834445951121465
non-school 0.16043731808828227
vomit 0.06369951499279017
unremarkable 0.10676926773304302
topical -0.07664188987439957
blow -0.04009103685152253
original -0.03510633877712138
sixties -0.04519088313248734
slightly 0.04307625460517048
1972 -0.17592977535806623
violence 0.0650583297813356
worshippers 0.036287961658540896
shove -0.07894764912569696
ten -0.08640446377614856
revelation 0.0006703485335129433
reminder 0.05762188614206973
reoffend -0.12795689162340446
would 0.022160366427664308
shape 0.08720585409073714
tackle -0.0309741415250947
torture 0.009881860436450673
until -0.016053385104382117
beside 0.03847557193560852
alteration 0.06591196655858644
hoping -0.0851369892811169
monitored -0.05344623546725252
historical 0.02703452687752267
classics 0.12051249514424942
! -0.0041967790933027105
trouble -0.026742079743931085
college -0.059420632535497536
pm -0.10154636659879014
20bn 0.051981930642774316
any -0.10821205765239988
thomas -0.09220535320961515
32 -0.09930438513264259
humane 0.0026907555798679483
progressed 0.0569167011578294
cracking 0.020667760943612917
among -0.021090504329653426
displays -0.034928684501621815
14 -0.0929702932047542
gate -0.05621643527707787
scores 0.025555975634434014
fading 0.019299111286774584
fed -0.12239092135897338
wristwatch -0.013259570500128631
brave -0.054663100840273246
walter -0.018373211812506896
practice 0.12924863792741131
brew 0.11449500081083243
exploiting 0.26103786753902075
snatch -0.12055690314014195
religion -0.013507641158141903
maha -0.04082298795357617
chew -0.00675936491817257
cultures -0.03407969169929531
arrival -0.04156836848563511
signature 0.027292939244240783
chatting 0.009476747248946732
combined 0.04427927486168423
produces -0.02238298420715934
kings 0.016027327708985767
metre -0.039681401135112454
economists 0.12329906595977505
cooing -0.013108547034527795
unaffected -0.027491086696548483
acquis 0.33480717208716915
delights 0.08402652566514571
easy 0.0127331106005584
before -0.01659241521754895
survey -0.09288166045583734
began -0.005761757815814256
cooper -0.004587584192465494
course -0.04016486740694644
asthmatic 0.07600078860682252
burj 0.018906939232582465
shortcomings 0.16614133785535262
suites 0.21014962817291316
daily -0.06881656051925655
abolition 0.16860846698067672
silly 0.005969982535814572
heathrow 0.21812258296295778
distaste 0.07693192117752723
princess -0.023061039853991966
theories 0.022855520287563047
ever -0.07838849467390538
theirs 0.011348714719378011
defining 0.018994966764675186
under -0.06940972699778919
mating 0.055785626394101506
networks 0.01342761704721096
dynamics 0.05515529056087676
mid-eighties 0.051930181959038146
chosen -0.05764894099823609
immigrants 0.06716371438352378
foods -0.11147218276402208
after -0.09336377594697011
bpf -0.02987027223083849
gilmore 0.09271517967792742
moronic 0.08648995656948186
pencil -0.042935675891102865
2000 -0.1148167975260148
articulated 0.17811392832104977
smashed 0.055011135463750166
closed 0.019281159336307252
opposition -0.10021121003628208
guerillas -0.026322675998553008
closure 0.0034779017096960296
man -0.07004524530969335
gaudy -0.023902118982114334
middle-aged 0.0037570295012096244
boot -0.013691268104202847
traditions -0.02324142830213044
yards -0.0495386047061504
halifax -0.05777303336180856
stockings 0.016468826538305475
worked -0.021721984091741697
inevitability 0.10333825609487052
aerobic -0.025474888693373443
side -0.16652137534765088
early 0.06532691024296017
advert -0.009890832628148827
justified 0.08016675379170157
beeson 0.11732544215405694
ruling -0.16246704850137145
faces -0.11334790933418659
concession 0.07341864055311759
inevitable 0.05834766873509353
thundering 0.03152423561167453
misleading -0.05121102648156842
february 0.0009426179249350519
butchery 0.06547863698258541
subtler 0.002856876487231208
designed -0.12004279449009814
monday 0.027869518141286492
islamic 0.11520907311961454
extensive -0.018621920859939883
corporate 0.08960137718285399
fragrance -0.002326835032943092
margaret -0.021539719494024778
cardboard -0.0029579665612312067
groupies -0.1205563950958691
discovered 0.07995440535936485
houses 0.04509806420491991
indo-american 0.11079792163419205
hearts -0.014521850437241357
might -0.07456663175883496
reinforce 0.015047433259369053
room -0.08633758768481897
recall -0.0815771830942317
dynamic 0.04095530618014104
ghost 0.005290606489423588
current -0.023050451747564704
italian -0.01709306787490178
audio -0.07322651135406541
donald 0.04330275158302355
mistaken 0.015625424863874693
gloating 0.06277112696184811
flat -0.08385484938971813
drinks 0.034236442639971276
forever 0.051864921678766995
medium -0.05379106840508108
lovers -0.015786762298714868
instead -0.0033860966597971665
see -0.03654018669524581
lesser 0.1449212301417422
occasionally -0.05445782439195246
contentious -0.01737079900352545
helps 0.04616298040260111
possible -0.0921207120209257
piper -0.030475351835971887
printing 0.036414865218693054
taiwan 0.13519190449649632
gick 0.13296861051488318
26 -0.1629292752109275
chasing -0.029466588776416114
judgement -0.05440752784082556
developed 0.12370238581135587
body 0.06395317445158011
congenial 0.013416573247514524
thought 0.027957152674869035
slide 0.01435454574713485
builds 0.01655683085609097
smooth 0.001982509146245398
wisecracking 0.26776555288211984
ingles 0.19256196537385195
sheet -0.06071417240476175
admire -0.016160811416268767
blanchett 0.005191496489691222
headed 0.05010200263545886
inishmore 0.07978339844357607
inhabitants 0.04667748256017451
hour-long 0.18494397603777363
afforded -0.003175627133059772
personal -0.0938773247821221
contraction 0.15877008107178142
commissioned 0.11138036304081755
disorders -0.04058338273148218
etats-unis 0.23564668692122764
johnson-smith -0.01061086409031703
breadth 0.05580591413680172
heroes -0.0017597251225914268
their -0.12004940513373083
negligent -0.13089800858118095
fit -0.09128438412323311
vets -0.028860851920799735
chances 0.04356462103353201
itv -0.023742471131804194
liked 0.026232261283318542
immune 0.11568541388698753
ring -0.08447408534286471
council -0.09437499785062176
pleasant -0.01862587709136923
nowadays 0.01979882270500749
voluntary 0.0003177320271215145
floor -0.03485828555977037
currently 0.012569271427683881
agree -0.11878102874564253
trifle 0.025271874347487372
others -0.016137484298214738
spends -0.04380289566575829
advantage 0.0019308791210511655
cheque 0.07425424987711485
weighed -0.03401312528866243
unusually 0.05583274362744231
eaten -0.09741515934826572
offence 0.007292196602515899
invited 0.029718416695842215
chanel 0.027220070470329205
borrow -0.006850504146763775
ambassadors 0.06608378541044913
surge -0.04357280914215664
tight 0.04481046570721314
thought-through 0.5422015614141482
hand -0.02990587983652057
south-western 0.03916369069051859
let -0.11082717038064288
me -0.09583043336496466
refugee 0.059073411417048055
whether -0.046066282504774125
an -0.03826670930507746
parties 0.022685931170339485
attendance 0.005153846048920024
dishwashers 0.054820003652810284
recruits 0.04105903084626378
imitative 0.3277648906176338
ciabatta 0.010862063894306134
retractable -0.08011714976516113
marchmont 0.04649537087946881
brings -0.011884046122161152
intelligence 0.019428348613725555
saved -0.08594167727529978
media -0.06181180445487401
then -0.15151204115351924
envelope -0.008428867979162424
trail 0.017627785447619976
seinfeld 0.10401527139016886
cell -0.04064821383217257
conventions 0.08601475770649794
million -0.09078530396829193
hated -0.03549094980507894
infrastructure 0.13173128185175376
british -0.06260340497823091
old -0.04345628826310419
descent 0.02588309767685465
awarded 0.026053920435431976
minutes 0.05028329140152393
y' -0.05734865934165642
thrived 0.11562114915708405
hall -0.05458189904247625
shocking -0.025218696654943723
itself -0.08635563358074139
first-name 0.056237628546567
sharply 0.07632667735505719
beneath -0.05164835745690827
qualities 0.0763909643238585
grandstand 0.02716464925660722
6,000 0.05260873241247144
anthony -0.011624298064567384
tall -0.04574144558793802
court -0.07711095672358995
climate 0.12090231009854221
cocooned 0.12185242636689592
page -0.14332954073954507
late -0.037552353374639025
tackling -0.033330838937981416
arabian 0.030350509072674753
stoves -0.09565361703131207
putnam 0.01076475533511187
colour -0.04302489357862929
components 0.09166259122782855
really -0.038300030947014035
excessive 0.09293371338802292
jubilee -0.036711696843885006
filled -0.08788356631499114
gloat -0.05062684834408765
measurements 0.03830555497162974
wellbeing 0.02183001049564756
pearson 0.03185200052618403
lacked -0.10476904165826764
ensuring -0.07739546947994735
game -0.11166101797969566
crimes 0.03214187631458623
blighting 0.10340474441517411
initiative 0.05025874568569305
existence 0.17844475872774934
allowing 0.09364033310655873
member -0.10863727902750744
signing 0.010789948459819731
visitors -0.008605036877733424
connolly -0.12116878361866301
reward -0.08247342938553667
artificial 0.017138209767664392
risen -0.06494072898007572
500 -0.062191907536089025
pining 0.20564554102106256
wandered -0.02850960220627155
notoriously 0.1914291274945064
goals -0.027176886165946254
basis 0.008683461566657114
dusk -0.13580862110940245
friendly 0.0472335931555343
ireland -0.03493730594193603
sheep -0.006642926289460227
distinctive -0.04257555920496833
thank -0.07843833024183747
faithful 0.05472001142050828
frequent 0.08846086021502675
estimating -0.12117816550075229
kennedy 0.03917320443423947
about -0.0895036608013064
bone 0.0565983246784197
feelings 0.004976103129365528
attitude -0.03847412418088464
memoirs 0.079271511969468
presentational 0.21334559132516523
reparations 0.11752834065179174
digest -0.10837432629850599
founding 0.033085971448900714
situation -0.025484538179176786
bewildered 0.017665662964753193
increases -0.027983436145486568
applied -0.06723211929415102
practice 0.06653949267947507
offcuts 0.11458327483102831
ross -0.07011418189537065
expects -0.04415858601843975
lankan -0.07038852589482843
target 0.05599608728295821
meant 0.001210300384980184
have -0.13896408015562678
denial -0.13882679013396773
shreds -0.013315071435811482
encountered -0.03617447181947722
mfr 0.14027641413834263
overcrowded 0.08334911269849038
sustainability -0.004803817932530735
plans 8.81277764893662e-05
russian 0.012493219399607014
lieutenant 0.02083861113363794
pledges 0.07682540228095383
switzerland 0.06190791209908786
selection -0.07734793063505624
creation 0.01735748154985675
councils 0.04794476962943467
majestic 0.029241439782687034
city -0.10274455814013
proud 0.039237197377141736
nothing 0.027546396341669166
earnings-related 0.3635634075426796
profession 0.06726778760374699
diptheria 0.0072393842158366695
heritage 0.1259457117235741
clean 0.0399411637875767
completion 0.08265534685371223
closer -0.0492943010657555
east -0.10575395283683559
appear -0.049979882332505055
stem -0.06707639356280726
performing 0.0821954763411886
thirtysomethings 0.11255820716526366
know -0.030237425341781865
call -0.03154655402801117
reams 0.01834490473257891
pretty 0.03993730990277558
difficulty 0.01474985332459905
genetics -0.028646816568547423
moves -0.010498336841011008
come 0.02593975981638695
hindsight 0.04307989383598693
agonising 0.08035330921146677
ego 0.0746630538298445
sustainable 0.007942097299978357
spot -0.08839624731350243
fix -0.04490728391100231
predicted 0.1425770507778113
boast -0.14605313795476577
lorry- 0.03797110633764983
insurrection -0.010045438403831153
acutely -0.12427749813924882
bite 0.05887249277768039
untoward 0.12294473138822587
donations -0.088122537776571
18 -0.08763369474246918
unofficially 0.11241302902414246
moan -0.024962994598843047
osmetech 0.28163821693803737
carried 0.00930790146526611
fabric 0.011808561558849157
bin -0.08247174995600419
defeat 0.06087069546337631
sex -0.05525477417662579
forks -0.043318657824718804
signed -0.02293691044105789
tigers -0.030996405663502702
days -0.10760422378929684
fall 0.04080727002324727
managing 0.1406350434776409
'' 0.047545560847129936
tear 0.06064693363809889
15 -0.009176567564164628
hospitals 0.1224305081314295
researcher -0.09435723099381721
city -0.13378087548861023
protection 0.010230908349827733
witnessed 0.0541106925783732
meaningless -0.0331959529758909
uninteresting 0.14069631564595048
crimes 0.02344149062485082
trick -0.08623839783531263
minds 0.037488555498395276
covering -0.004926213062939805
blank 0.11928993780861114
bears 0.015230461226574399
fascinating -0.10106283493492205
staffing 0.04154139745641683
