word error
those -0.08207756782119924
reptilian -0.022779522463679314
ancestors 0.621435959264636
richly 0.0743422418832779
presenter -0.10927759855985641
phasing -0.0792703926563263
affront 0.008283954113721848
kingdom 0.15309225544333457
inside 0.04779186828860214
regime 0.04003951698541641
dependent 0.08019907611111801
now -0.07842093259096146
maison -0.01120952982455492
landfills -0.21030806005001068
circuit 0.04959264397621155
sheet -0.022644203156232834
black-and-white -0.01641869731247425
art 0.04658982296075141
play 0.23143516659736635
newcomer -0.21443530917167664
pulled 0.03850499540567398
happens -0.06696964800357819
80 -0.15089985132217407
obstructive 0.050426729023456573
entire -0.005354552567005157
yours 0.29535986185073854
less -0.005142715638098511
lung -0.023592213168740273
fear -0.027080534026026726
stranglehold 0.373460391163826
egalit‚ -0.09674118459224701
celebrations -0.0402687132358551
rich 0.019148577253023796
blair 0.022983030955258166
altercation -0.00674850046634673
portraits -0.20058321952819824
light -0.03540164142847061
suffered -0.22005334496498108
founded 0.0053537264466285706
gains 0.022681212052702904
jeremy 0.5064148023724556
equator -0.023857997730374336
pedigree -0.09657145291566849
likes 0.1153164365887642
bother -0.16622859239578247
roadshow 0.009450873360037804
oddity -0.2101260870695114
signposts 0.05252736061811447
radio 0.042742078834109826
relief -0.08398183782895405
radio 0.25317463808589513
resent 0.03025742433965206
burnley -0.11505907028913498
rake -0.009630074724555016
whitelaw 0.05519648641347885
100m -0.04873447120189667
republican 0.10617777049541474
said -0.10881574335051518
inflation-fighting 0.061072900891304016
washed -0.12258735299110413
ralph 0.01782231591641903
bondage -0.03602166473865509
minimising -0.1518639177083969
viewing -0.029209982603788376
cynically -0.005379503592848778
issps 0.01975061558187008
treats -0.09678060561418533
drivers 0.04163061045110226
lake -0.12672190368175507
no -0.014015454231273561
huge -0.1156652644276619
ear -0.1328272968530655
contend 0.016791867092251778
as -0.06821070357840112
global -0.004204508662223813
place 0.07249360588334855
sceptical 0.06048811276753743
earnings 0.11940720677375793
becoming 0.05410621799528599
reform 0.08846382498741151
bird -0.08908736705780029
busy -0.04113698750734329
tried -0.16437253832817075
isabela -0.04616299271583557
retention 0.06412065053979557
school -0.05913590961381009
icon -0.0485556423664093
sandpaper -0.1974283754825592
banged -0.23591719567775726
chortling -0.005381105467677116
owed -0.16325396299362183
demons -0.19691304862499237
been -0.10024885810628723
arrives 0.01676281727850437
chiefs 0.011963596567511559
lukewarm 0.28023180514574053
automatically 0.3204084575176239
arabic 0.07636695392429829
preoccupied 0.1692495707422495
guaranteed 0.2680468946695328
overall -0.06292971223592758
living -0.1186238294839859
hawaii -0.055913932621479034
anticipated -0.07620477080345153
customer -0.14349932968616486
reminiscing -0.0036629876121878624
' -0.03588148165832866
mini 0.2587194338440895
skid -0.10869688540697098
22 -0.09839817881584167
influenced 0.18859549686312677
balances 0.32122409492731097
snails 0.05255830883979798
concept 0.034420765936374664
integrated 0.44072110056877134
harbours -0.06998414546251297
ovens -0.1943359673023224
rages 0.237105530500412
dreariness -0.02095121331512928
associate 0.0114113599061966
permanently 0.04768049716949463
counsellors -0.04185473918914795
recorded -0.06952665001153946
swedish -0.030088534578680992
non-school 0.269537915289402
vomit 0.02480395320802927
unremarkable 0.3998192135244608
topical -0.035669028759002686
blow -0.06842353940010071
original 0.10474082185990281
sixties -0.029156174510717392
slightly 0.15924862319869654
1972 0.01641268841922283
violence -0.04391058683395385
worshippers 0.08417151868343353
shove -0.15726201236248016
ten -0.04807540774345398
revelation -0.011350050568580627
reminder -0.06867263466119766
reoffend 0.18526668250560763
would 0.05643111081053949
shape -0.07396029680967331
tackle 0.01045261137187481
torture 0.07608678191900253
until -0.005063083730638027
beside -0.05398334562778473
alteration 0.005212381482124329
hoping 0.03082467056810856
monitored 0.16268467903137207
historical 0.003334539011120796
classics 0.20208254903554917
! -0.22253939234293424
trouble -0.10172885486057827
college -0.06927914917469025
pm 0.12821447849273682
20bn -0.04955179989337921
any 0.114070625603199
thomas -0.11498889327049255
32 -0.060678303241729736
humane -0.11575047075748443
progressed -0.06494654715061188
cracking -0.2239217609167099
among -0.1424932767947515
displays 0.11316933929920198
14 0.21207942068576813
gate 0.1599314257502556
scores 0.12227966338396073
fading 0.29453335106372835
fed -0.015566863119602203
wristwatch -0.030250685289502144
brave 0.03587754815816879
walter -0.06319359689950943
practice -0.12213796377182007
brew -0.07187458872795105
exploiting 0.39130961485207083
snatch -0.0019207410514354706
religion -0.12808407843112946
maha 0.09649533331394196
chew -0.06574299186468124
cultures -0.11223870515823364
arrival -0.017370322719216347
signature -0.11658183485269547
chatting -0.0666302889585495
combined -0.0696987733244896
produces 0.04642333835363388
kings 0.18194802701473237
metre -0.048329390585422516
economists 0.44092008620500567
cooing 0.029634850099682808
unaffected -0.0780925452709198
acquis -0.24058401584625244
delights -0.2403326779603958
easy -0.10369783341884613
before 0.06574650115745012
survey -0.013950776308774948
began 0.010844196379184726
cooper -0.14636588096618652
course -0.15995959177099425
asthmatic 0.12897891998291017
burj -0.1891707479953766
shortcomings -0.011715252883732319
suites 0.07828320562839508
daily 0.0397513210773468
abolition 0.07773479074239731
silly -0.02957378514111042
heathrow 0.15166323333978654
distaste 0.09204476773738862
princess -0.05533082038164139
theories -0.16006819903850555
ever -0.09366222049508777
theirs -0.037683144211769104
defining 0.09259842336177826
under -0.007134378541793138
mating -0.18266794085502625
networks -0.018198421224951744
dynamics 0.009967157617211342
mid-eighties 0.3549494564533234
chosen 0.050161316990852356
immigrants 0.02170405350625515
foods 0.03910846263170242
after 0.003834454852499454
bpf -0.013539019972085953
gilmore -0.09703373908996582
moronic 0.6170233964920044
pencil 0.011353610083460808
2000 -0.05059327930212021
articulated -0.09617827087640762
smashed -0.10965742915868759
closed -0.09651592175165813
opposition -0.08766202628612518
guerillas 0.05620581656694412
closure -0.12993918359279633
man -0.09911113636834282
gaudy 0.08337495177984239
middle-aged 0.023471901193261147
boot 0.05237139016389847
traditions 0.08815805613994598
yards -0.19661881029605865
halifax -0.17426122725009918
stockings 0.23393035531044007
worked 0.1469326213002205
inevitability -0.072207510471344
aerobic 0.07003631442785263
side 0.019552965834736827
early 0.06166261156253955
advert -0.1266716718673706
justified 0.1815946836024523
beeson -0.005896845832467079
ruling 0.05214737355709076
faces 0.0243514571338892
concession -0.0041772156953811534
inevitable -0.04017031192779541
thundering -0.029883990064263344
misleading 0.09432245790958405
february -0.05935610830783844
butchery -0.04994075745344162
subtler -0.19087032973766327
designed 0.02626173660159111
monday 0.15750683918595315
islamic -0.1297542303800583
extensive 0.22579168416559697
corporate -0.12304580211639404
fragrance -0.19630268216133118
margaret -0.011719277666674723
cardboard 0.034971415996551514
groupies -0.1290508359670639
discovered 0.16516161799430848
houses 0.07827757522463799
indo-american -0.019675297662615776
hearts 0.019437873736023903
might 0.00495572924321773
reinforce -0.005485808476805687
room -0.11096875965595246
recall 0.1020953893661499
dynamic 0.13628863245248796
ghost 0.2843838304281235
current 0.029347106491525964
italian 0.0004204764962196378
audio 0.16796017587184908
donald 0.06082829535007478
mistaken -0.08394104242324829
gloating 0.19037472531199456
flat 0.0005462039262056351
drinks 0.09395815630753834
forever 0.08171453773975373
medium -0.11932241916656494
lovers -0.245282381772995
instead 0.18705916615093454
see -0.014439327976642512
lesser -0.18224620819091797
occasionally 0.010528933256864548
contentious -0.12297160923480988
helps -0.018514309823513028
possible -0.22656044960021973
piper -0.02566075697541237
printing 0.1160060316324234
taiwan 0.010200539603829384
gick 0.0398927703499794
26 0.08741435408592224
chasing 0.07975254692137242
judgement 0.009178361296653753
developed 0.019020916894078255
body 0.0072834947934517485
congenial -0.08363847434520721
thought -0.0003514856747958983
slide 0.3376339912414551
builds -0.0031685810536146164
smooth -0.09469236433506012
wisecracking 0.3200093001127243
ingles -0.1453324854373932
sheet -0.064977265894413
admire -0.08299531787633896
blanchett -0.16367466549078624
headed 0.10586875677108765
inishmore -0.06263504922389984
inhabitants -0.11109936237335205
hour-long 0.10910895466804504
afforded 0.01654146797955036
personal -0.05737132579088211
contraction 0.006228556856513023
commissioned 0.15042150020599365
